title,artist,track_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Asi Lo Grita,"Dario Nunez, Frank Nitty",0CgZz5PpgxCJKGlDlmLLvG,house,0.749,0.975,1,-6.196,0,0.0606,0.00209,0.865,0.0677,0.371,123.998,2
I Just Can't Get Enough - H&F's 2Risque Vox,"Herd & Fitz, Abigail Bailey",2DKyiqS5NjTqw5IzwOEYiQ,house,0.589,0.938,6,-7.762,0,0.0582,0.0517,0.283,0.26,0.842,127.014,8
Feel It And Shout - Pirupa Remix,"E-Funk, Donica Thorton, Pirupa",3Imo1HZmCf7hhAXl0k92Bb,house,0.631,0.781,1,-11.453,0,0.0323,0.000262,0.821,0.107,0.629,124.003,2
Basement,"Dean Mickoski, Simon Field, Baby Sol",3WQCqaFfAZr1encxofKTzN,house,0.756,0.85,0,-7.009,1,0.0737,0.00127,0.461,0.0698,0.794,125.979,4
This Sound,Danny Howard,6BBSfYlYYvgtw0Ibo1ahvm,house,0.728,0.871,1,-7.346,1,0.036,0.0906,0.811,0.036,0.417,124.023,11
A London Thing,"Scott Garcia, MC Styles",2X3VBFaGlLhB6tNs54LsPJ,house,0.888,0.836,8,-9.123,1,0.102,9.34e-05,0.509,0.0592,0.791,126.906,6
Cro Magnon (What About Our Love),Constipated Monkeys,6smbgkFGxDSfyVmlJLXvJT,house,0.763,0.649,0,-13.263,1,0.074,0.00461,0.00622,0.321,0.255,126.963,4
Don't You Go - Original Mix,"Harrison Crump, Felix Da Housecat",3eWQV19ADPhqCvwUQGxIvj,house,0.789,0.333,5,-17.645,0,0.0488,0.0657,0.654,0.105,0.577,130.008,2
Promised Land - Kiko Franco Remix,"Joe Smooth, Kiko Franco",15TWJ0ywyi4NRvfFCIfcwJ,house,0.645,0.809,6,-7.242,1,0.0334,0.00501,0.0343,0.105,0.0774,124.024,14
I'm Watching You (So Many Times),Gadjo,5QZUVkYQw6DCAxG2dR211z,house,0.57,0.781,0,-8.481,1,0.0322,0.005,0.00253,0.219,0.276,121.079,14
Don't Hurt Me - Mella Dee Full Pump Mix,"Cache, Mella Dee",4DfiF1mCD15o4KVfvZqKI0,house,0.782,0.797,2,-8.921,0,0.044,0.00483,0.818,0.13,0.268,136.999,2
In & Out - Earth n Days Remix,"TAI, Son Of 8, Earth n Days",5rhpljoiKh4rKNaxZEWkGL,house,0.619,0.958,10,-4.481,0,0.0585,0.00109,0.0581,0.0698,0.547,124.974,3
Get This Feeling,"Mark Knight, Darius Syrossian, Prospect Park",3uqsEcdRWuZWkgQdhxwaxU,house,0.68,0.989,0,-2.891,0,0.126,0.0171,0.167,0.463,0.288,126.969,5
Turn Around (Hey What's Wrong With You) - Robosonic Remix,"Phats & Small, Robosonic",0WD91nak7r9O7E42eOvpFq,house,0.759,0.89,1,-10.453,0,0.0465,0.00647,0.476,0.0545,0.721,128.004,8
Hideaway - Deep Dish Radio Edit,De'Lacy,2bpmisazTQ49QpLMGZGp1X,house,0.761,0.959,11,-7.592,1,0.096,0.00389,0.697,0.217,0.477,121.986,11
Show Me Love,Robin S,4t0UsYzmmmZRMTWn77jiGF,house,0.811,0.833,5,-4.259,1,0.153,0.014,2.06e-05,0.0769,0.567,120.258,6
